Differential gene expression in whole lung bulk RNA-seq data of three replicates of young (3 months) and old mice (22 months),ID,baseMean,gene name,log2FoldChange [old/young],lfcSE,stat,pvalue,padj,Old_1,Old_2,Old_3,young_1,young_2,young_3
,ENSMUSG00000087364,3.292075913,Gm13398,3.721702947,1.665572715,2.234488422,0.025450954,0.059559655,3.412014675,9.045368249,5.945527384,1.349545172,0,0
,ENSMUSG00000058435,1.567862306,Btnl4,3.716027256,2.263010242,1.642072664,0.100574946,NA,1.706007337,6.957975576,0.743190923,0,0,0
,ENSMUSG00000076501,81.95660892,Igkv2-137,3.706697541,0.483128661,7.672278301,1.69E-14,8.88E-13,124.5385356,239.3543598,92.89886537,8.097271034,13.77509565,13.07552601
,ENSMUSG00000094652,39.82523694,Ighv1-42,3.703050425,0.818825716,4.522391461,6.11E-06,4.31E-05,170.6007337,32.70248521,18.57977307,4.048635517,8.265057389,4.754736732
,ENSMUSG00000079480,269.8052854,Pin4,3.681418817,1.248433226,2.948831174,NA,NA,66.53428616,96.71586051,1338.486852,37.78726482,49.59034433,29.71710457
,ENSMUSG00000076589,3.194797665,Igkv8-18,3.673444457,1.779761953,2.06400887,0.039016875,0.084777084,1.706007337,3.478987788,12.63424569,1.349545172,0,0
,ENSMUSG00000076596,101.7399527,Igkv3-10,3.66614239,1.057115976,3.468060719,0.000524229,0.002114146,266.1371446,279.0148206,20.80934584,16.19454207,6.887547824,21.39631529
,ENSMUSG00000075510,1.509692642,Fam187a,3.656487843,2.125072851,1.720641173,0.085315957,NA,2.559011006,2.78319023,3.715954615,0,0,0
,ENSMUSG00000086069,1.499289412,Gm13708,3.647685883,2.178314319,1.674545244,0.09402349,NA,1.706007337,2.087392673,5.202336461,0,0,0
,ENSMUSG00000050761,190.2858983,Gp1bb,3.643377106,0.426376848,8.544969377,1.29E-17,1.30E-15,381.2926399,160.0334382,515.7745006,18.89363241,37.19275825,28.52842039
,ENSMUSG00000076674,62.41146285,Ighv3-8,3.636933774,1.240642398,2.93149241,0.003373376,0.010692654,259.3131153,61.23018507,26.0116823,21.59272276,2.75501913,3.566052549
,ENSMUSG00000073184,1.486381846,Gm10479,3.634745567,3.150218677,1.153807383,0.248579147,NA,0,0,8.918291076,0,0,0
,ENSMUSG00000095071,1.470584058,AF067061,3.621045772,2.641878677,1.370632877,0.170489429,NA,0,1.391595115,7.43190923,0,0,0
,ENSMUSG00000076518,19.81689971,Igkv2-112,3.619207949,0.795031573,4.552282039,5.31E-06,3.81E-05,42.65018344,22.9613194,44.59145538,0,2.75501913,5.943420914
,ENSMUSG00000073208,25.83662372,Speer4c,3.61721118,0.688988219,5.250033428,1.52E-07,1.65E-06,28.14912107,66.10076797,49.05060092,5.398180689,2.75501913,3.566052549
,ENSMUSG00000077354,1.472329438,Gm26286,3.614155235,2.590781315,1.395005906,0.163014059,NA,5.118022012,0,3.715954615,0,0,0
,ENSMUSG00000094552,3.087330838,Ighd3-2,3.607633014,1.882380868,1.916526605,0.0552981,0.112997678,13.6480587,2.78319023,0.743190923,1.349545172,0,0
